Breakfast1,Breakfast2,Breakfast3,Breakfast4,Breakfast5,Morning Snack1,Morning Snack2,Lunch1,Lunch2,Lunch3,Lunch4,Lunch5,Afternoon Snack1,Afternoon Snack2,Dinner1,Dinner2,Dinner3,Dinner4,Dinner5,Score
pork cabbage rice bowl,zucchini soup,stir-fried chicken with cheese,stir-fried jukkumi and vegetables in soy sauce,summer radish watery kimchi,S_beef potato porridge,S_raisin potato bowl,steamed sweet rice,tofu stew,seasoned salad with sweet potato stem in soy paste,stir-fried dried shrimp and zucchini,pickled beet,S_sweet potato shake,S_sweet pumpkin rice punch,steamed corn rice (30),oyster mushroom soup,rolled omelette with cabbage,empty,radish watery kimchi,2
steamed corn rice (30),oyster mushroom soup,rolled omelette with cabbage,seasoned salad with sweet potato stem in soy paste,summer radish watery kimchi,S_beef potato porridge,S_sweet pumpkin rice punch,pork cabbage rice bowl,zucchini soup,stir-fried jukkumi and vegetables in soy sauce,empty,pickled beet,S_sweet potato shake,S_raisin potato bowl,steamed sweet rice,tofu stew,stir-fried chicken with cheese,stir-fried dried shrimp and zucchini,radish watery kimchi,3
steamed corn rice,oyster mushroom soup,rolled omelette with cabbage,seasoned salad with sweet potato stem in soy paste,radish watery kimchi,S_beef potato porridge,S_orange,rice bowl with pork in oyster sauce,zucchini soup,stir-fried jukkumi and vegetables in soy sauce,seasoned salad with cucumber,pickled beet,S_sweet potato shake,empty,steamed sweet rice,tofu stew,Chuncheon-style stir-fried chicken,yoghurt fruit salad,summer radish kimchi,5
steamed pearl barley rice,mandu (dumpling) chicken stew,daikon and pear salad,fresh kimchi with winter cabbage,radish kimchi cubes,S_rice punch,S_banana shake,steamed sweet rice (add),tofu persimmon pine nut soup,seasoned oyster mushroom,braised pork roll with rice cake in soy sauce,seasoned salad with pickled daikon,S_aglio e olio spaghetti,S_soft tofu salad (oriental dressing),steamed red bean rice (30),pork kimchi soup,spicy stir-fried octopus and vegetables,steamed aubergine in marinade sauce,whole radish kimchi,1
steamed red bean rice (30),tofu persimmon pine nut soup,daikon and pear salad,seasoned oyster mushroom,radish kimchi cubes,S_soft tofu salad (oriental dressing),S_rice punch,steamed sweet rice (add),mandu (dumpling) chicken stew,braised pork roll with rice cake in soy sauce,fresh kimchi with winter cabbage,seasoned salad with pickled daikon,S_aglio e olio spaghetti,S_banana shake,steamed pearl barley rice,pork kimchi soup,spicy stir-fried octopus and vegetables,steamed aubergine in marinade sauce,whole radish kimchi,2
steamed red bean rice (30),tofu persimmon pine nut soup,grilled mackerel with sweet rice,seasoned oyster mushroom,radish watery kimchi,S_Fusilli salad,S_mango juice,steamed sweet rice,chicken stew,steamed beef with sweet pumpkin,fresh kimchi with winter cabbage,summer radish kimchi,S_homestyle blueberry milk,empty,steamed pearl barley rice,Sujebi,stir-fried jukkumi and vegetables,braised lotus root and walnut,whole radish kimchi,5
steamed chestnut bean rice,mini-ball rice cake seaweed soup,stir-fried zucchini and dried shrimp,seasoned salad with sweet potato stem in soy paste,pickled beet,S_pan-fried vegetables,S_raisin potato bowl,curried rice with chicken and potato + marinade sauce,mandu (dumpling) soup,stir-fried zucchini with bean powder,braised burdock slices and konjac,cucumber kimchi,S_rice-based beverage,S_milk with misugaru (mixed grain powder),steamed millet rice (30),tofu stew,seasoned winter mushroom,seasoned salad with Korean melon and overripe cucumber,radish watery kimchi,1
steamed millet rice (30),mini-ball rice cake seaweed soup,stir-fried zucchini and dried shrimp,seasoned salad with sweet potato stem in soy paste,cucumber kimchi,S_pan-fried vegetables,S_milk with misugaru (mixed grain powder),curried rice with chicken and potato + marinade sauce,mandu (dumpling) soup,stir-fried zucchini with bean powder,braised burdock slices and konjac,pickled beet,S_raisin potato bowl,S_rice-based beverage,steamed chestnut bean rice,tofu stew,seasoned winter mushroom,seasoned salad with Korean melon and overripe cucumber,radish watery kimchi,2
steamed millet rice (30),mini-ball rice cake seaweed soup,stir-fried zucchini and dried shrimp,seasoned salad with sweet potato stem in soy paste,sweet napa cabbage watery kimchi,S_pan-fried vegetables,S_milk (200ml),curried rice with chicken and potato + marinade sauce,fried tofu soy paste soup,steamed pork shank,lettuce fruit salad,pickled beet,S_raisin potato bowl,empty,steamed chestnut bean rice,beef stew,braised Spanish mackerel in soy sauce,parboiled broccoli,radish watery kimchi,5
steamed corn rice (30),freshwater snail soy paste soup with curled mallow,stir-fried zucchini,seasoned salad with cuttlefish in vinegar marinade,summer radish kimchi,S_cream sauce spaghetti,S_sweet potato shake,Japanese beef rice bowl (gyudon),beef soup,seasoned oyster mushroom,bean sprout and mung bean jelly salad,summer radish watery kimchi,S_tangerine,S_sweet pumpkin rice punch,steamed sweet rice,zucchini salted shrimp soup,seasoned salad with spicy bean sprout,deep-fried vegetables,seasoned salad with pickled daikon,1
steamed corn rice (30),freshwater snail soy paste soup with curled mallow,stir-fried zucchini,seasoned oyster mushroom,summer radish kimchi,S_sweet potato shake,S_tangerine,Japanese beef rice bowl (gyudon),zucchini salted shrimp soup,deep-fried vegetables,seasoned salad with spicy bean sprout,seasoned salad with pickled daikon,S_cream sauce spaghetti,S_sweet pumpkin rice punch,steamed sweet rice,beef soup,seasoned salad with cuttlefish in vinegar marinade,bean sprout and mung bean jelly salad,summer radish watery kimchi,2
steamed corn rice,freshwater snail soy paste soup with curled mallow,steamed eggs with tofu,seasoned oyster mushroom,pickled beet,S_stir-fried fish cake with glass noodles,S_sweet pumpkin rice punch,Japanese beef rice bowl (gyudon),winter mushroom soy paste soup,deep-fried vegetables,seasoned salad with canola,seasoned salad with pickled daikon,S_tangerine,S_homestyle banana milk,steamed sweet rice,chicken green bean sprout soup,grilled Atka mackerel,seasoned salad with aubergine,white kimchi,5
steamed millet rice (30),mandu (dumpling) soft tofu stew,seasoned salad with sweet potato stem in soy paste,seasoned winter mushroom,radish kimchi cubes,S_beef daikon porridge,S_homestyle banana milk,steamed sweet rice (add),oyster mushroom soup,vegetables croquette,braised burdock slices and konjac,whole radish kimchi,S_soft tofu salad (oriental dressing),S_rice-based beverage,stir-fried rice with broccoli and vegetables,mandu (dumpling) soup,stir-fried zucchini and dried shrimp,seasoned salad with aubergine,cucumber kimchi,1
steamed millet rice (30),mandu (dumpling) soup,stir-fried zucchini and dried shrimp,seasoned salad with sweet potato stem in soy paste,radish kimchi cubes,S_beef daikon porridge,S_rice-based beverage,steamed sweet rice (add),mandu (dumpling) soft tofu stew,braised burdock slices and konjac,seasoned winter mushroom,whole radish kimchi,S_soft tofu salad (oriental dressing),S_homestyle banana milk,stir-fried rice with broccoli and vegetables,oyster mushroom soup,vegetables croquette,seasoned salad with aubergine,cucumber kimchi,2
steamed millet rice,tofu soy paste soup,pan-fried shrimp and sea lettuce,seasoned bellflower root,radish kimchi cubes,S_beef daikon porridge,S_orange,steamed sweet rice,pollack stew,steamed eggs with milk,seasoned winter mushroom,pickled beet,S_cheese stick,S_homestyle banana milk,stir-fried rice with broccoli and vegetables,potato soup,roasted chicken with butter,seasoned salad with aubergine,radish watery kimchi,5
steamed sweet rice,mandu (dumpling) chicken stew,stir-fried tofu and vegetables in oyster sauce,stir-fried dried shrimp and zucchini,summer radish watery kimchi,S_fried fish paste soup,S_Solomon's seal tea,steamed red bean rice (30),oyster mushroom soup,seasoned oyster mushroom,stir-fried jukkumi and vegetables in soy sauce,pickled beet,S_sweet potato shake,S_potato salad,pork cabbage rice bowl,soft tofu stew,seasoned salad with spicy bean sprout,empty,radish watery kimchi,1
steamed sweet rice,soft tofu stew,stir-fried dried shrimp and zucchini,seasoned oyster mushroom,summer radish watery kimchi,S_potato salad,S_sweet potato shake,steamed red bean rice (30),mandu (dumpling) chicken stew,stir-fried jukkumi and vegetables in soy sauce,seasoned salad with spicy bean sprout,radish watery kimchi,S_fried fish paste soup,S_Solomon's seal tea,pork cabbage rice bowl,oyster mushroom soup,stir-fried tofu and vegetables in oyster sauce,empty,pickled beet,2
steamed sweet rice,soft tofu stew,rolled omelette with three-color vegetables,seasoned oyster mushroom,summer radish watery kimchi,S_potato salad,S_homestyle blueberry milk,steamed red bean rice,mandu (dumpling) chicken stew,stir-fried jukkumi and vegetables in soy sauce,seasoned salad with spicy bean sprout,radish watery kimchi,S_fried fish paste soup,S_orange,pork cabbage rice bowl,fried tofu soy paste soup,seasoned salad with broccoli shrimp and sesame,seasoned salad with spring parsley,pickled beet,5
seafood mushroom rice bowl,mushroom stew,stir-fried zucchini with bean powder,salted sea lettuce,radish kimchi cubes,S_jujube milk soup,S_milk (200ml),steamed pearl barley rice (30),red bean porridge,potato wedge,tomato tofu salad,summer radish kimchi,S_soft tofu salad (oriental dressing),S_rice-based beverage,steamed chestnut rice,dried bonito soy paste soup,stir-fried sweet potato stem,stir-fried chicken in soy paste without bones,white kimchi,1
steamed pearl barley rice (30),red bean porridge,stir-fried zucchini with bean powder,salted sea lettuce,white kimchi,S_jujube milk soup,S_soft tofu salad (oriental dressing),seafood mushroom rice bowl,dried bonito soy paste soup,tomato tofu salad,potato wedge,radish kimchi cubes,S_milk (200ml),S_rice-based beverage,steamed chestnut rice,mushroom stew,stir-fried chicken in soy paste without bones,stir-fried sweet potato stem,summer radish kimchi,3
steamed pearl barley rice,freshwater snail soy paste soup,stir-fried pork and mushroom,salted sea lettuce,white kimchi,S_jujube milk soup,S_crouton,seafood mushroom rice bowl,dried bonito soy paste soup,tomato tofu salad,potato wedge,pickled beet,S_homestyle blueberry banana milk,S_apple,steamed chestnut rice,chicken vegetables soup,stir-fried beef and Yangsongyi mushroom,stir-fried sweet potato stem,summer radish kimchi,5
steamed red bean rice (30),oyster mushroom soup,stir-fried dried shrimp and zucchini,vegetables croquette,pickled beet,S_tomato juice,S_raisin potato bowl,steamed sweet rice (add),mandu (dumpling) soup,seasoned winter mushroom,spicy stir-fried octopus and vegetables,radish watery kimchi,S_carrot soup,S_milk (100ml),rice bowl with beef and aubergine,assorted mushroom stew,seasoned salad with sweet potato stem in soy paste,braised burdock slices and konjac,summer radish watery kimchi,2
steamed red bean rice (30),oyster mushroom soup,stir-fried dried shrimp and zucchini,seasoned salad with sweet potato stem in soy paste,summer radish watery kimchi,S_carrot soup,S_milk (100ml),steamed sweet rice (add),mandu (dumpling) soup,spicy stir-fried octopus and vegetables,seasoned winter mushroom,radish watery kimchi,S_raisin potato bowl,S_tomato juice,rice bowl with beef and aubergine,assorted mushroom stew,vegetables croquette,braised burdock slices and konjac,pickled beet,3
steamed red bean rice,oyster mushroom soup,seasoned salad with broccoli shrimp and sesame,seasoned salad with sweet potato stem in soy paste,summer radish watery kimchi,S_carrot soup,S_crouton,steamed sweet rice,mugwort soy paste soup,spicy stir-fried octopus and vegetables,seasoned salad with spring parsley,sweet radish kimchi,S_raisin potato bowl,S_walnut milk,rice bowl with beef and aubergine,kimchi soup,vegetables croquette,braised burdock slices and konjac,pickled beet,5
steamed red bean sweet rice,kimchi onion soup,seasoned salad with oyster mushroom,dried radish,radish watery kimchi,deluxe rice ball,S_soft tofu salad (oriental dressing),steamed corn rice,fried tofu winter mushroom soup,scrambled eggs,parboiled broccoli (perilla seed sauce),whole radish kimchi,S_barley tea,S_homestyle strawberry milk,steamed sweet barley rice (30),potato dough soup,seasoned salad with winter cabbage,fresh kimchi with lettuce,summer radish kimchi,1
steamed red bean sweet rice,fried tofu winter mushroom soup,scrambled eggs,parboiled broccoli (perilla seed sauce),whole radish kimchi,deluxe rice ball,S_homestyle strawberry milk,steamed corn rice,kimchi onion soup,seasoned salad with winter cabbage,seasoned salad with oyster mushroom,radish watery kimchi,S_soft tofu salad (oriental dressing),S_barley tea,steamed sweet barley rice (30),potato dough soup,dried radish,fresh kimchi with lettuce,summer radish kimchi,2
steamed red bean sweet rice,fried tofu winter mushroom soup,scrambled eggs,parboiled broccoli (perilla seed sauce),whole radish kimchi,deluxe rice ball,S_homestyle strawberry milk,steamed corn rice,kimchi onion soup,stir-fried beef and bokchoy,seasoned salad with bellflower root,radish watery kimchi,S_sweet red bean doughnut,S_Korean melon,steamed barley rice,potato dough soup,stir-fried chicken in soy sauce,fresh kimchi with lettuce,radish watery kimchi,5
steamed pearl barley rice,red bean porridge,seasoned salad with chicory in yuzu marinade,braised chicken drumsticks in sauce,sweet napa cabbage watery kimchi,S_cheese stick,S_rice-based beverage,steamed sweet potato rice (30),Sujebi,stir-fried mushroom,seasoned salad with broccoli in red chilli paste with vinegar,cucumber kimchi,S_milk (100ml),S_macaroni and vegetables salad,mini-Gimbap (rice roll),potato onion soup,cabbage salad in yuzu marinade,braised chicken roll with vegetables,white kimchi,1
steamed pearl barley rice,red bean porridge,stir-fried mushroom,seasoned salad with chicory in yuzu marinade,sweet napa cabbage watery kimchi,S_macaroni and vegetables salad,S_rice-based beverage,steamed sweet potato rice (30),Sujebi,braised chicken drumsticks in sauce,cabbage salad in yuzu marinade,cucumber kimchi,S_cheese stick,S_milk (100ml),mini-Gimbap (rice roll),potato onion soup,braised chicken roll with vegetables,seasoned salad with broccoli in red chilli paste with vinegar,white kimchi,2
steamed pearl barley rice,fried fish paste soup,rolled omelette with vegetables,seasoned salad with chicory in yuzu marinade,sweet napa cabbage watery kimchi,S_macaroni and vegetables salad,S_orange,steamed sweet potato rice,clam curled mallow  soup,stir-fried chicken drumsticks and paprika,steamed cabbage wraps + soy red chilli paste,sweet radish kimchi,S_homestyle blueberry banana milk,S_Korean melon,mini-Gimbap (rice roll),potato onion soup,parboiled cuttlefish,stir-fried broccoli with butter,white kimchi,5
