kor,eng
토마토치즈범벅,Tomato cheese mash
토마토치즈샐러드,Tomato cheese salad
토마토범벅,Tomato mash
토마토감자국,Tomato potato soup
토마토샐러드,Tomato salad
토마토새우볶음밥,Tomato shrimp stir-fried rice
토마토스파게티,Tomato spaghetti
토마토두부샐러드,Tomato tofu salad
떡볶이,Tteokbokki (stir-fried rice cake)
어묵떡볶이,Tteokbokki (stir-fried rice cake) with fried fish paste
참치가지볶음밥,Tuna aubergine stir-fried rice
참치배추국,Tuna cabbage soup
참치무국,Tuna daikon soup
참치김치찌개,Tuna kimchi stew
참치추어탕,Tuna loach soup
참치주먹밥,Tuna rice ball
참치깻잎덮밥,Tuna rice bowl with perilla leaves
참치미역국,Tuna seaweed soup
참치두부찌개,Tuna tofu stew
참치마요덮밥,Tuna-mayo rice bowl
우동,Udon (white wheat noodles)
우동면국,Udon (white wheat noodles) soup with noodles
우동국물,Udon (white wheat noodles) soup without noodles
새우튀김우동,Udon (white wheat noodles) with deep-fried shrimp
어묵우동,Udon (white wheat noodles) with fried fish paste
유부우동,Udon (white wheat noodles) with fried tofu
김치우동,Udon (white wheat noodles) with kimchi
맛살우동,Udon (white wheat noodles) with soft crab
훈제오리우동볶음,Udon (white wheat noodles) with stir-fried smoked duck
데리야끼닭우동볶음,Udon (white wheat noodles) with stir-fried teriyaki chicken
어묵유부우동,Udon with fish cake and fried tofu
언양식불고기,Unyang style barbequed beef
새싹채소샐러드(오리엔탈드레싱),Vagetable salad (oriental dressing)
쌈채소+쌈장,Vagetable-wraps + soy red chilli paste
콘채소샐러드,Vegetable corn salad
채소크로켓,Vegetable croquette
채소유부초밥,Vegetable fried tofu rice balls
채소잡채,Vegetable japchae
채소주먹밥(달걀),Vegetable rice balls (eggs)
채소샐러드,Vegetable salad
채소샐러드(발사믹드레싱),Vegetable salad (balsamic vinegar dressing)
메추리알채소폭찹,Vegetables and quail eggs
채소주먹밥,Veggie rice ball
채소스프,Veggie soup
나박김치,Water kimchi
수박샐러드,Watermelon salad
하얀무생채,White daikon salad
백김치,White kimchi
삼계탕,Whole chicken soup
달래맑은국,Wild chive soup
달래된장국,Wild chive soy paste soup
달래새우살전,Wild korean-leeks and shrimp pancake
방풍나물,Wild parsnip
얼갈이배추김치,Winter cabbage kimchi
얼갈이들깨국,Winter cabbage perilla seed soup
얼갈이맑은국,Winter cabbage soup(clear)
얼갈이배추국,Winter cabbage soup
콩가루얼갈이배추국,Winter cabbage soup with bean powder
얼갈이된장국,Winter cabbage soy paste soup
팽이버섯달걀국,Winter mushroom egg soup
팽이버섯달걀탕,Winter mushroom egg stew
팽이미소국,Winter mushroom miso paste soup
팽이버섯미역된장국,Winter mushroom seaweed soy paste soup
팽이버섯맑은국,Winter mushroom soup
팽이버섯된장국,Winter mushroom soy paste soup
팽이장국,Winter mushroom miso soup
양송이스프,Yangsongyi mushroom soup
양송이된장국,Yangsongyi mushroom soy paste soup
요거트과일범벅,Yoghurt fruit mix
요거트과일샐러드,Yoghurt fruit salad
열무김치,Young radish kimchi
열무물김치,Young radish water kimchi
맑은애호박국,Zucchini  soup
호박잎된장국,Zucchini leaf soy paste soup
호박칼제비,Zucchini noodle soup
애호박양파국,Young pumpkin and onion soup
호박양파국,Zucchini and onion soup
애호박새우젓국,Zucchini salted shrimp soup
애호박젓국,Young pumpkin salted shrimp soup
애호박새우젓국찌개,Zucchini salted shrimp soup or stew
애호박젓국찌개,Zucchini salted shrimp stew
늙은호박국,Old pumpkin soup
애호박국,Young pumpkin soup
애호박맑은국,Young pumpkin soup(clear)
호박국,Zucchini soup
호박맑은국,Zucchini soup(clear)
애호박된장국,Zucchini soy paste soup
애호박두부젓국,Zucchini tofu salted shrimp soup
애호박두부젓국찌개,Zucchini tofu salted shrimp soup or stew
애호박두부된장국,Zucchini tofu soy paste soup
empty,empty
